data, sillyHash, FirstLetter, WordLen, LetterSum, Rolleft, MyHash, 
606, 0, 0, 0, 113, 62, 61, 
607, 0, 0, 0, 95, 54, 51, 
608, 0, 0, 0, 118, 51, 47, 
609, 0, 0, 0, 94, 64, 48, 
610, 0, 0, 0, 116, 67, 62, 
611, 0, 0, 0, 93, 58, 43, 
612, 0, 0, 0, 88, 58, 31, 
613, 0, 0, 0, 100, 60, 59, 
614, 0, 0, 0, 91, 54, 55, 
615, 0, 0, 0, 116, 59, 60, 
616, 0, 0, 0, 88, 55, 60, 
617, 0, 0, 0, 107, 48, 58, 
618, 0, 0, 0, 95, 56, 54, 
619, 0, 0, 0, 92, 50, 62, 
620, 0, 0, 0, 91, 55, 47, 
621, 0, 0, 0, 91, 43, 54, 
622, 0, 0, 0, 93, 45, 57, 
623, 0, 0, 0, 92, 51, 37, 
